Seed,Length r1,Length r2,Length r3,Community CUE 1,Community CUE 2,Community CUE 3
0,1.0752870091230964,1.6094081104774165,1.3250647232910624,0.18878235710572255,0.29305238058161126,0.2602876607541897
1,1.5521750825873515,3.04063953398583,3.0069543165710524,-0.4871940406896523,0.46410994516665904,0.4603099285748987
2,3.077009486539698,1.8334353871626552,2.5016808701219624,0.11616227963062165,0.41247230481742314,0.39483879642459563
3,0.4353433002038947,1.2380425827644617,1.3840812388693782,0.13868331775043977,0.4057890600009449,0.49512797355181465
4,2.4115842568091224,1.76950239776613,2.1452107103751668,0.164730799485175,0.3934716962023586,0.3810019863848845
5,0.893659083250502,1.7707958969428124,1.911125700774716,-0.1889221295796316,0.4293504908083614,0.3325780222938957
6,0.7646620408889606,0.5345067581105747,0.8536735530750986,-0.00428066448888004,0.2796102012417542,0.25745434658061017
7,0.6166063724787794,0.5520638279279991,0.9395615922130345,0.024992125211082437,0.21048199388376315,0.26982855515118187
8,1.1698423951946586,2.2676612918440107,1.543388482865626,0.05043490280788411,0.5103658264654514,0.41490639558065906
9,0.4856069958504715,0.9711210870265364,0.8391881388321787,-0.17472938396725207,0.3386740619414333,0.3525797878020034
