Community,Status,CUE
1,Survival,0.395749941268045
1,Survival,0.33742263311737525
1,Survival,0.4794232901239091
1,Survival,0.33505318176723975
1,Survival,0.39221367050499234
1,Survival,0.4462769707654594
1,Survival,0.42583143193683476
1,Survival,0.3892570360737612
1,Survival,0.3731738905962568
1,Survival,0.4006870288698889
1,Survival,0.4471340230552541
1,Survival,0.4856748639651894
1,Survival,0.36871560836770473
1,Survival,0.34657234701232675
1,Extinction,0.506996180669879
1,Extinction,0.46232318090288343
1,Extinction,0.48199950656492113
1,Extinction,0.4539735968939946
1,Extinction,0.49073418217035586
1,Extinction,0.44749036315445584
2,Survival,0.3698631821414512
2,Survival,0.38877742612821176
2,Survival,0.37147673908037426
2,Survival,0.33126459629660976
2,Survival,0.3651052147622957
2,Survival,0.4427128812432412
2,Survival,0.31909760353825883
2,Survival,0.32267162519243014
2,Survival,0.35991193380054115
2,Survival,0.42265330811097335
2,Survival,0.2667075487744634
2,Survival,0.3156254102563446
2,Survival,0.38956394208952716
2,Extinction,0.3070566265484195
2,Extinction,0.3510854307023301
2,Extinction,0.23848067527196037
2,Extinction,0.4386396202397571
2,Extinction,0.2977426127859454
2,Extinction,0.2750680057835061
2,Extinction,0.3252839667197833
3,Survival,0.38118786295533624
3,Survival,0.316605101278813
3,Survival,0.48612400121064764
3,Survival,0.3136285872445411
3,Survival,0.5187228885565247
3,Survival,0.3735717196805045
3,Survival,0.4120893518238716
3,Survival,0.40002777723812466
3,Survival,0.4701733549718853
3,Survival,0.4490889199584323
3,Survival,0.365330153495264
3,Survival,0.34074294869836236
3,Survival,0.3787084708253093
3,Survival,0.4152069826169041
3,Survival,0.45836379319995185
3,Survival,0.3419372271504732
3,Survival,0.3204881539232258
3,Extinction,0.4931529922575923
3,Extinction,0.5027698724941135
3,Extinction,0.45948996163965367
3,Extinction,0.2768137882094599
3,Extinction,0.32021732895420063
3,Extinction,0.206741292778179
3,Extinction,0.3478177866516392
3,Extinction,0.35567311136029905
3,Extinction,0.4088931373241448
3,Extinction,0.35297309869584215
3,Extinction,0.3057265497166404
3,Extinction,0.26790443342772
3,Extinction,0.24372308379868804
3,Extinction,0.3415975906119616
3,Extinction,0.40689025010603297
3,Extinction,0.29022190326337555
3,Extinction,0.293893195018127
3,Extinction,0.29590736611155194
3,Extinction,0.3352294952910639
3,Extinction,0.39716613051694305
3,Extinction,0.23959481533735338
3,Extinction,0.2977924172530726
3,Extinction,0.36226097834518206
